Section,ACLM,ACH,LTLM,LTH,PLM,PH,BH,PaLM,PaH,RuLM,RuH,DBL,DBH,RoadRoidIRI
264,0.6,0,0.279,1.232,0,0,1.3,0,0.164,0,0.709,0.065,0.113,3.592
265,0,0,0,0,0,0,0.56,0,0,0.131,0,0.24,0,2.275
266,0.9,0.339,0.458,0.491,0,0,0.7,0,0,0,0,0,0,3.446
267,0,0,1.036,0,0,0,1.9,0,0,0,0.709,0.6,0,3.025
268,0.6,0,0,1.635,0.011,0,0,0,0,0,0,1.57,0,3.346
269,0,0,0,0,0,0,0,0,0,0.17,0.523,0,0,3.02
270,0,0,0.905,0.654,0.044,0,0,0,0,0,0,0,0.283,2.51
271,0,0,0,0,1.078,0,0,0,0,0.36,0,0.828,0,6.558
272,0.9,0,2.943,0.883,0.132,0,0,0.131,0.654,0,0,0.011,0.142,6.235
273,0.63,0,0,0,0,0,0.036,0,0,0,0,0.399,0,2.652
274,1.5,0,2.899,3.019,0.011,0,0.5,0.785,0,0,0,1.129,0.218,4.236
275,0,0,0.643,0,0.011,0,0.45,0,0,0,0,0,0,4.625
276,0,1.582,0,0,0,0,1.5,1.417,0,0.36,0.185,0.273,0.218,5.253
277,2.4,0,0,0.654,0,0,2,0,0,0.948,0,0.164,0,3.265
278,0,0,1.543,0.6,0,0,0.545,0,0,0,0,0,1.69,3.142
279,0,0,0.61,0.24,0,0,0.65,1.363,0,0,0,0,0.61,2.221
280,0,0,2.398,1.384,0.099,0,0,1.635,0,0,0.055,0.937,0.491,2.021
281,0,0,0,0.523,0.143,0,0,0,0.545,0.142,0,0.382,0.338,3.625
282,0,0,0,0.85,0.072,0,0,1.417,0.61,0,0,0,0.545,4.259
283,1.5,0.565,0.251,0,0,0,0.6,0.676,0,0.131,0,0,0.131,6.65
284,0,0.565,0.719,0,0.11,0.032,0.15,0,0,0,0,0.48,1.297,4.698
285,0,0,1.613,0.763,0.132,0,0.66,0,0,0.24,0,0,0,4.745
286,0,0.735,1.82,0.61,0,0,0,0.703,0,0,0,1.101,0,5.236
287,0.6,0,0.654,0,0,0,1.37,0.496,0,0.251,0.719,0.403,0.676,3.658
288,0,0,0,0,0,0,0,0,0,0,0,0.109,0.687,3.265
289,0,0.961,0.61,0,0,0,0,0,0,0,0,1.624,0.763,4.528
290,0.25,0,0.174,0,0,0,0.96,0.927,0,0,0,0,0,2.625
291,0,0,0.682,0.611,0,0,0.41,0,0,0.251,0,0.407,0,3.669
292,0,0,0.458,0,0.055,0,0.52,0.164,0,0,0,0,0.174,4.857
293,0,0,0.36,0,0,0,0.45,0,0,0,0,0.654,0,1.258
294,0,0,1.353,0,0,0,0.85,0,0,0,0,0.886,0.109,1.587
295,0,0.339,0,0,0,0,0,0,0,0,0,0,0.797,2.012
296,0,0,0.453,0.36,0,0,0.15,0,0,0,0,0,0,1.952
297,0,0,1.101,0.164,0,0,0,0,0,0,0,0.392,0,1.552
298,0,0,0.676,0.283,0,0,0.4,0,0,0,0,1.243,0,2.625
299,0.41,0,1.275,0.327,0,0,0,0,0,0,0,0.164,0.164,2.326
300,0,0.588,0,0,0,0,0.15,0,0,0,0,1.512,0,5.258
301,0,0,0.136,0.719,0,0,0,0,0,0,0,0,0,2.986
302,0,0,0,0.654,0,0,1.28,0,0,0,0,0.392,0,3.977
303,0,0,1.45,0,0,0,0.61,0,0,0.327,0,0.711,0,3.697
304,0,0,0.164,0,0,0,0.99,0,0,0.055,0,0.164,0,4.012
305,0.36,0,1.412,0.97,0.011,0,0,0,0,0.011,0,0.109,0,4.152
306,0,0,0,1.602,0.055,0,0.36,0,0,0,0.011,0.164,0,2.32
307,0,0.373,0.687,0.676,0,0,0.38,0,0,0.327,0,0.12,0,2.447
308,1.5,0,2.093,0,0,0,0,0,0,0,0,0.349,0.621,3.249
309,0,0.17,0.556,0.327,0.011,0,0.36,0.18,0,0,0,0.711,0.327,2.921
310,0,0.203,0,0,0,0,0.15,0.164,0,0,0,0.349,0.164,2.499
311,0.23,0.407,0.545,0,0,0,0,0.872,0,0,0,0.523,0.164,3.014
312,0,0.136,1.177,0,0.044,0,0,0,0,0,0,1.264,0,2.715
313,0,0,0.567,0,0,0.058,0.63,0,0,0.251,0,0.414,0.676,3.21
314,0,0,0.6,0.251,0,0,0.18,0,0,0,0,0.452,0,2.343
315,0.52,0,0.905,0.251,0.033,0,1.24,0.447,0,0.414,0,0,0.818,3.497
316,0.12,0.283,0.85,0.349,0,0,0,0,0,0.382,0,0.164,0,2.791
317,0.45,0,1.929,0,0,0,1.23,0,0,0,0,0.371,0,2.973
318,0.36,0,0.97,0.283,0,0.011,0.52,0,0,0,0,0,0.251,2.821
319,0.15,0,0.458,0.349,0,0,0.55,0,0,0,0.719,0.6,0.251,2.778
320,0,0.203,0.6,0.131,0.011,0.022,0.12,0.164,0,0,0.164,1.166,0,2.939
321,0.23,0,2.049,0,0,0,0.25,0,0,0.12,0,0.589,0.523,2.777
322,0.15,0.362,1.166,0,0,0,0.25,0,0,0.153,0,0,0,2.837
323,0.75,0,1.281,0,0,0,3.51,0.164,0,0.12,0.327,0.24,0.12,3.988
324,0.21,0.26,0.861,0.48,0,0,0,0.12,0,0.196,0,0.448,0,2.906
325,0.23,0,0.581,0.229,0,0.011,1.472,0.12,0.232,0,0,0.97,0,3.231
326,0.27,0.35,0.251,0.872,0,0,0,0.164,0,0,0,0.447,0.45,3.344
327,0,0,0.6,1.003,0,0.022,0.407,0,0,0,0,0.621,0.698,3.291
328,0.51,0.17,0,0,0,0,0.15,0,0,0,0,0,0.581,2.775
329,0.3,0,0,0.218,0,0,0.54,0.109,0,0,0,0.283,0.709,2.805
330,0.6,0,0.218,1.03,0,0,1.1,0,0,0,0,0.327,0.12,3.312
331,0,0.635,1.247,0,0,0,1.366,0,0,0,0.164,0.12,0,3.61
332,0.15,0,0.229,0,0,0,0,0,0,0,0,0,0.131,2.161
333,0,0.701,0.12,0.251,0.011,0,2.55,0,0,0,0,0,0.349,4.284
334,0,0.678,0.42,0.567,0,0,1.2,0,0,0,0,0.469,0.229,3.909
335,0.71,0.124,0.752,0.251,0,0,0.32,0,0,0.011,0,0.491,0,2.917
336,0,0,0.251,0,0,0,0.41,0,0,0,0,0.458,0.131,2.326
337,0,0.701,0.283,0,0,0,1.86,0,0,0,0,0.414,0.48,4.003
338,0.71,0,0.669,0,0,0,0.45,0.218,0,0.164,0,0.578,0.251,2.821
339,0,0,0.567,0.6,0,0,0.15,0,0,0,0,0.556,0.218,2.598
340,0,0.339,0.36,0,0,0,1.37,0,0,0,0,0.251,0,3.094
341,1.07,0.678,0.373,0.164,0,0,0.8,0,0,0,0,0.523,0,3.958
342,0.62,0,0.483,0.682,0,0,1.21,0,0,0,0,0.349,0.327,3.32
343,0,0,0,0,0,0,0.62,0,0,0,0,0.12,0,2.267
344,0.15,0.339,0.818,0.491,0,0,1.65,0,0,0,0,0,0,3.512
345,0.15,0,0.399,0.992,0,0,0.6,0.022,0,0,0,0,0.545,3.048
346,0,0.034,0.6,0.818,0,0,0.77,0,0,0,0,0.392,0.29,2.991
347,0.51,0,1.21,0,0,0,0.356,0,0,0,0,0.273,0.71,2.857
348,0.57,0,0.153,0.153,0,0,1.272,0,0,0,0,0.273,0.273,2.998
349,0.71,0.35,0.955,0.12,0,0,1.065,0.382,0,0,0,0.632,0.682,3.83
350,0.125,0,0,0,0,0,0,0,0,0,0,0.164,0.275,2.207
351,0,0.226,0.382,0,0.094,0,0.45,0.218,0,0,0,0,0.02,2.936
352,0,0,0.512,0,0,0,0.41,0,0,0,0,0.375,0.055,2.312
353,0.133,0.339,0.273,0,0,0,0.74,0,0,0,0,0.447,0.719,3.23
354,0,0,0.24,0,0.061,0,0.84,0,0,0.338,0,0,0,2.619
355,0.52,0,0.327,0,0,0,0,0.251,0,0.011,0,0,0,2.318
356,0.13,0.678,0.469,0.164,0.011,0,0,0,0,0,0.164,0,0,3.216
357,0,0,0,0.719,0.011,0.032,0.43,0.131,0,0.011,0,0.632,0,2.966
358,0,0,0.709,0,0.045,0,0,0.491,0,0.044,0,0.469,0,2.409
359,0.15,0,0.927,0,0,0.011,0,0,0.567,0.12,0.654,0.327,0.109,2.727
360,0,0,0.491,0.501,0,0,0,0,0,0,0,0,0,2.307
361,0,0,0.327,0,0,0,0,0.18,0,0,0.24,0,0,2.097
362,0.74,0.124,1.957,0,0.001,0.005,0,0,0,0,0,0,0,2.808
363,0,0,0.763,0,0.011,0,0.15,0,0,0.12,0,0.643,0.273,2.429
364,0,0.362,0.349,1.21,0,0,0,0.676,0.676,0,0,0.6,0,3.632
365,0.6,0.362,0.305,1.341,0,0.065,0,0,0,0,0,0.316,0,4.092
366,0,0,0.24,0,0.055,0.005,0.65,0.719,0,0.567,0,0.676,0.12,2.844
367,0,0,1.995,0.6,0.33,0.009,0,0,0,0,0,0.405,0.382,4.08
368,0.77,0,1.973,1.493,0,0,0,0.671,0.164,0,0.229,0.676,0,3.59
369,0,0.25,0.916,0,0,0,1.52,0,0,0,0,2.006,0.131,3.43
370,0,0,0.992,0.6,0,0,0,0.6,0,0.617,0,0.131,0,2.564
371,0.62,0,0.818,0.164,0.066,0.009,0,0,0.174,0,0,0.436,0.709,3.236
372,0,0.136,2.126,0.556,0,0,0.55,0.676,0,0,0.131,0.327,0.273,3.19
373,0,0.136,1.33,0.164,0.022,0,0,0.556,0.164,0.719,0,1.384,0,2.958
374,0,0,0.818,0.567,0,0,0,0,0,0,0,0.654,0,2.482
375,0,0,2.572,0,0.066,0,1.55,0,0,0,0,0.687,0.709,3.561
376,0.626,0.249,0,0,0,0,0,0,0,0.665,0,1.368,0,2.925
377,0,0,0.196,0.251,0,0,0,0,0,0,0,0,0.687,6.669
378,0,0.226,0,0.153,0.055,0,0.5,0,0,0,0,0.12,0.164,7.89
379,0,0,1.493,0.523,0,0,0,0,0,0.18,0,1.123,0.12,4.526
380,0,0.283,0,0,0,0.162,0.22,0,0,0,0,0.872,0.709,3.251
381,0.6,0,0.327,0.905,0.352,0.162,0,0,0,0,0,0.523,0.164,5.568
382,0,0,0.687,0.567,0.165,0,0.81,0,0,0,0,0,0.273,5.625
383,0,0,0,0.164,0.242,0,0,0,0,0,0,0.61,0.677,3.652
384,0,0.622,0.567,0.719,0.055,0.054,1.2,0,0,0,0,0.774,0.807,4.851
385,0.56,0,1.177,0.338,0,0.044,0,0,0,0,0,0,0.556,3.658
386,0,0,0.273,0,0,0.011,0,0,0,0,0,0.512,0.273,2.665
387,0.48,0,0.24,0.164,0,0,0,0,0,0,0,0,0,2.654
388,0.6,0,1.395,0.634,0,0.248,0.62,0,0,0,0,0,1.308,7.854
389,0.262,0,0,1.439,0,0,0,0,0,0,0,0.687,0.687,4.658
390,0,0.136,0.283,0.283,0,0.055,0,0,0,0,0,0.164,0,6.857
391,0,0,1.275,0.6,0.418,0.092,0.62,0,0,0,0,0.676,0.752,5.098
392,0,0,1.475,0,0.165,0.055,0,0,0,0.392,0.556,0,0.164,7.058
393,0.25,0.362,0,0,0.023,0.108,0.623,0,0,0,0,0.552,0,5.689
394,0.15,0,0,0.677,0,0,0.3,0,0,0.6,0,0.179,0,2.889
395,0.55,0,0,0,0,0,1.13,0,0,0.512,0,1.235,0,2.998
396,0.52,0,0,0,0,0,0.62,0.726,0.164,0.235,0,0.545,0.109,3.226
397,0,0.17,0.994,0,0.044,0.022,0,0,0,0.556,0.392,0.654,0.196,3.884
398,1.163,0.339,0.676,0,0,0,0.62,0,0,0.719,0.164,0.687,0,3.205
399,0,0,0.834,0.687,0,0,0,0,0,0.556,0.616,0,0,3.002
400,0,0.712,1.412,0.283,0,0,0,0.567,0,0.556,0,0.916,0,3.589
401,0,0,0.95,1.026,0.814,0,0.15,0.667,0,0,0,0.687,0,6.998
402,0.7,0.565,1.395,1.319,0.11,0.065,0,0,0,0.36,0,0.131,1.156,6.125
403,0,0,0.719,0.948,0.11,0,0,0.567,0,0.512,0,1.221,0.055,3.258
404,0,0,1.641,0.818,0,0,0.51,0.174,0,0.91,0.6,0.556,0,3.039
405,0,0.588,1.134,0.927,0.154,0,0,0.174,0,0.278,0,0,0,4.04
406,0.15,0,0.676,0.922,0.165,0,0,0.068,0,0.927,0,0.676,0.567,3.651
407,0.51,0,1.036,0.164,0,0.168,0,0.164,0,0,0,0,0,3.978
408,0.062,0.26,0.289,0.164,0.066,0,0,0,0,0,0,0.545,0.109,2.9
409,0.52,0,0.726,0.556,0,0,0.52,0,0,0,0.556,0,0,2.846
410,0.3,0,0.371,1.973,0,0.054,0,0,0,0,0,0.512,0,3.687
411,0.21,0,1.439,1.842,0,0,0,0,0,0,0,0,0,3.145
412,0,0.576,1.275,2.769,0.099,0.108,0,0,0,0.621,0.567,0.382,0.665,10.225
413,0,0.565,0.719,0.85,0,0,0,0,0.702,0,0.022,0.458,0,3.7
414,0.15,0.339,0.567,2.093,0,0,0.85,0,0,0,0.545,0.131,0,6.328
415,0.015,0.362,0.883,1.275,0.088,0,0,0,0,0.164,0.687,0.59,0.196,3.824
416,0,0.226,1.561,1.526,0.011,0,0.51,0,0.715,0.36,0.677,0,0.164,5.128
417,0.12,0.17,0.883,2.191,0,0,0,0,0,0,0.164,0,0.545,3.68
418,0,0.226,0.54,1.373,0,0.022,0,0,0.665,0.36,0,0.6,0.613,5.985
419,0.33,0,2.126,1.516,0.088,0,0.1,0,0,0.164,0,0.556,0.158,4.523
420,0.72,0,4.198,0.523,0.165,0,0,0,0,0,0.556,0.909,0,4.993
421,0,0,2.573,1.286,0,0.069,0,0,0,0,0.567,0.763,0,3.726
422,0,0,2.878,0,0.165,0,0.77,0,0,0.065,0.545,1.112,0,3.513
423,0.305,0,2.681,0.392,0,0,0.6,0,0,0.049,0.556,1.123,0,3.124
424,0,0,1.68,1.384,0,0,0,0,0,0.12,0.016,0,0,2.877
425,0.52,0,0,0.556,0,0,0,0,0,0,0,0.491,0,2.587
426,1.13,0,1.842,1.079,0,0,0,0,0,0,0,0.927,0,3.399
427,0,0,1.924,1.984,0,0,0,0,0,0.003,0,0.177,0,3.204
428,0,0,0.602,1.472,0,0,0,0,0,0,0.016,0.164,0,2.804
429,0,0,1.526,1.472,0.682,0,0,0,0,0,0,1.308,0,7.125
430,0,0,1.106,0.85,0,0,0,0,0,0,0,0.916,0,2.693
431,0,0,1.341,0.927,0,0.001,0,0,0,0,0,0.807,0,2.749
432,0,0,2.442,1.613,0,0,0.15,0,0,0,0,2.044,0,3.451
433,0.24,0,0.807,0.164,0,0,0,0,0,0,0,0.491,0,2.373
434,0.11,0,0.676,0,0.008,0,0,0,0,0,0,0.828,0,2.306
435,0.15,0,0.447,0,0,0,0.32,0,0,0.044,0.164,0,0,2.275
436,0,0,0,0.349,0,0,0,0,0,0,0,0.327,0,2.229
437,0,0,0.458,0.349,0,0,0.63,0,0,0,0,0.273,0,2.514
438,0,0,0.316,0.12,0,0,0,0,0,0,0,0.349,0,2.163
439,0.032,0,0.589,0.153,0,0,0,0,0,0,0,0.349,0,2.225
440,0,0,0.109,0,0.011,0,0.15,0,0,0.349,0,0,0.436,2.334
441,0.11,0,0,0,0,0.002,0.1,0,0,0,0,0.447,0.109,2.236
442,0.15,0,0,0,0,0,0.25,0,0,0,0.567,0,0,2.23
443,0,0,0.839,0.109,0,0,0,0.065,0,0,0,0.185,0,2.202
444,0,0,0,0,0,0,0.6,0,0,0,0,0.12,0,2.259
445,0,0,0.458,0.076,0,0,1.21,0,0,0,0,0,0,2.563
446,0.1,0,0.447,0,0.009,0,0,0,0,0.109,0,0,0.17,2.223
447,0,0,0,0.786,0,0.003,0,0,0,0,0,0.665,0,2.518
448,0,0,0,0,0,0,0,0,0,0,0.567,0,0,2.068
449,0.62,0,0.491,0,0.001,0,0.51,0,0,0,0,0.828,0,2.682
450,0,0,0.556,0,0,0,0.77,0,0,0,0,0.229,0,2.408
451,0.32,0,0.218,0,0,0,0,0,0,0,0,0.109,0,2.2
452,0,0,0.109,0.109,0.01,0,0,0,0,0,0,0,0.558,2.343
453,0.1,0,0.218,0,0.11,0.011,0,0,0,0,0,0.044,0,2.603
454,0,0,0.556,0.229,0,0,0.84,0,0,0,0,0.392,0,2.569
455,0.11,0,0.055,0.545,0.004,0,0,0,0,0,0,0,0,2.341
456,0,0,0,0.6,0,0,0.32,0,0,0,0,0.447,0.109,2.532
457,0.15,0,0.131,0,0,0,0,0,0,0,0,0.087,0,2.109
458,0.232,0,0,0.218,0.055,0,0,0,0,0.012,0.11,0,0,2.439
459,0.2,0.113,0,0,0,0,1.172,0,0,0.21,0.1,0.109,0,2.03
460,0,0,0,0,0.561,0,0.32,0,0,0,0,0.366,0,6.658
461,0.32,0,0.883,0,0.165,0.055,0,0.874,0,0.561,0,0.943,0,6.225
462,0.25,0,0,0.872,0.165,0,0,0,0.164,0,0,0,0,4.215
463,0,0.283,1.293,0.164,0,0,0.66,0.164,0,0,0,1.998,0.763,5.032
464,0.74,0,0.436,0.709,0,0.054,0,0,0,0,0,0.6,0,4.985
465,0.4,0,0,0,0,0,0.15,0,0,0,0,0.856,0,2.325
466,0,0.283,0,0,0,0,0.55,0,0,0,0,1.395,0,2.024
467,0,0,0,0,0,0,0.36,0,0,0,0,0,0,2.55
468,1.04,0,0.349,0.174,0,0,1.5,0,0,0,0,0.469,0.654,2.514
469,0.52,0,0,0.349,0,0,0,0,0,0,0,0.349,0,3.255
470,0.61,0,0,0.501,0.121,0.043,0,0.349,0,0,0,0.567,0.164,3.32
471,0.74,0.768,0.21,0.544,0.01,0.23,0.087,0,0,0.155,0,0,0.581,6.12
472,0.43,0.136,0.393,0,0.06,0.32,0.539,0,0.592,0,0,0.444,0,7.14
473,0.216,0,0.603,0,0.12,0,0.374,0.155,0,0,0,2.393,0.194,3.65
474,0.55,0.362,0,0.387,0.11,0.15,0.206,0,0,0,0,1.079,0,6.11
475,0.66,0.723,0.301,0.774,0.06,0.003,0.661,0.065,0,0,0,0,0,3.52
476,0.55,0.136,0,0.145,0,0.06,0.835,1.562,0.487,1.278,0,0,0,3.25
477,0.36,1.39,0,1.487,0,0.06,0.479,0,0.392,0.723,0.544,0.566,0,7.25
478,0,1.435,0.292,1.535,0.36,0.15,0.887,0,0.131,0.955,0,0.818,0.718,8.66
479,0.22,0.757,0,0.81,0.11,0.53,0.522,0,0.511,1.169,0,0.104,0.478,10.26
480,0.12,0.418,0.091,0.326,0.136,0.13,0.124,0.297,0.091,0,0,0.261,0.194,5.36
481,0.68,0,0,0,0.323,0.32,0.452,0,0.365,0.137,0,0.087,0,8.65
482,0,1.853,0.621,1.161,0.1,0,0.315,0,0,0,0,0,0,5.65
483,0.52,0,0,0,0,0,0.444,0.426,0.292,0.21,0,0.191,1.226,6.651
484,0.12,0,0.21,0,0,0.03,0.452,0.194,0.301,0.21,0.206,1.093,0.194,6.25
485,0.031,0,0,0,0.126,0.03,0.278,0,0.137,0,0,0.805,0,2.65
486,0.16,0.342,0.466,0.366,0.037,0.03,0.645,0.387,0,0,0,0.261,0.194,4.08
487,0,0.961,0.548,1.028,0,0.11,0.139,0,0.444,0,0,0,0,5.21
488,0.3,0,0.685,0,0.061,0.621,0,1.291,2.393,0.813,0,0.679,0,10.32
489,0,0.226,0,0.242,0.036,0.63,0.261,1.175,1.079,0,0.435,0.661,0,10.65
490,0.72,0.102,0.091,0.109,0,0,0.128,0.775,0,0,4.534,0.126,0,6.25
491,0,0.363,0.292,0.243,0,0,1.044,0.387,0,0,0.544,0.783,0.387,6.859
492,0.79,0.124,0.064,0.133,0,0,0,0.297,0.566,0,0.121,0,0,6.147
493,0.58,0,0,0,0,0,0.687,0,0.818,0,0,1.305,0,2.62
494,0,0,2.374,0,0,0.387,1.148,0.445,0.104,0,1.451,0.374,0,7.09
495,1.24,0.158,0,0.169,0,0,0,0,0.261,0,0,2.694,0.581,6.23
496,0,0,1.333,0,0,0,1.079,0,0.087,0,1.814,0,0,4.65
497,0,0.158,0,0.169,0,0,0,0,0,0.621,0,0.444,0.194,7.658
498,0,0.249,0.132,0.266,0,0,0.104,0.8,0.191,0.411,0,2.393,0,7.145
499,0,0,0,0,0,0.155,0.104,0.297,1.093,0,0,1.079,0,6.112
500,0.472,0,0.055,0,0,0,0,1.51,0.805,0.548,0,0,0,4.568
501,0,0.294,1.05,0,0,0.568,0.289,0,0.261,0,0,0,0,9.895
502,0,0,0,0,0,0.093,0.044,0,0,0,0,0.566,0.718,6.36
503,1.486,0.124,0.712,0.133,0,0.516,0,0.258,0.679,0,0,0.818,0.478,9.1
504,0.48,1.582,0.292,1.306,0,0.297,1.014,0.163,0.661,0,0,0.104,0.194,8.2
505,0.2,0.09,0,0.097,0,0.3,0.418,0,0.126,0,1.814,0.261,0,6.1
506,0.5,0.87,0.502,0.931,1.566,0.194,0.174,0.297,0.783,1.123,0,0.087,0,12.66
507,0.66,0,0,0,0.566,0,0.61,1.446,0,0,0.181,0,1.226,5.96
508,0.511,0.544,0.603,0,0,0,0.522,0.129,1.305,0.1,0,0.191,0.194,4
509,0.091,0.121,0,0.363,0.131,0,0.896,1.317,0.581,0.128,0,1.093,0,4.65
510,0.365,0,0,0.133,0.74,0,1.148,0,0,0,0.786,0.544,0.194,6.56
511,0,1.451,0,0,0,0,0.548,0.194,0.194,0,2.176,0.121,0,4.2
512,0.292,0,0,0,0,0,0.226,0,0,0,1.753,0,0,4.23
513,0.301,1.814,0.21,0,0,0,0.592,0.297,0,0,0,1.451,0,5.22
514,0.137,0,0,0,0.374,0,0,0,0,0,0,0,0.566,4.65
515,0.261,0.207,0.813,0,0,0,0.609,0,0,1.566,0,1.814,0,3.21
516,1.009,0,0,0,0.12,0,0,0.258,0.718,0.566,0.155,0,0.131,3.66
517,0,2.388,0,0.302,0.11,0,0.11,0,0.478,0,0,1.114,0.74,6.52
518,0.131,0.181,0,0,0.33,0,0,0,0.194,0.131,0.568,0,0,4.25
519,0.244,0,0.1,0,0.052,0,0.218,2.866,0,0.74,0.926,0,0,3.21
520,0.513,0.458,0.656,0,0.66,0,0.2,0,0,0,0.516,0.137,0.593,6.12
521,1.009,1.743,0,0,0.56,0,0.261,0.207,1.226,0,0.297,0.415,1.096,6.123
522,0.679,0.581,0,0,0.66,0,0,2.388,0.194,0,0,0,0,6.85
523,1.322,0,1.096,0,0,0,0.661,0.775,0,0.374,0.194,1.37,0.138,7.2
524,0,0,0.666,0,0,0,0.644,0,0.194,0.12,0,0,0,8.1
