S.N,AC1,AC2,AC3,BE1,BE2,BE3,D1,D2,D3,F1,F2,F3,G1,G2,G3,H1,H2,H3,PCI
1,0,3.8,0,0.32,0,0,0,0,0,0,0,0.4,0,0,0,0,0,1.55,36
2,0,1.59,0,1.7,0,0,0,0,0,0,0,0.09,0,0,0,2.22,0,1.25,56
3,0,0.93,0,0.75,3.64,0,0.74,0,0,0,0,0.34,0,0,0.26,0,0,0.33,46
4,0,11.97,2.99,0,1.22,0,0,0.43,0,0,0.25,0,0,0,0,0,2.97,0,45
5,0,1.33,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.32,0,87
6,0,0.21,0,0.93,1.04,0,0,0,0,0,0.09,0,0,0,0.04,0,0,0.32,56
7,0,1.52,0,0,0.74,0,0.21,0,0,0,0,0,0,0,0,0,2.54,0,64
8,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,75.5
9,0,0.17,0,0,1,0,0,0,0,0,0.03,0,0,0,0.11,0,0,0.45,68
10,0,4.65,0,0,0,0,0,0,0,0,0,0.34,0.6,0,0,0,0,0,53
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
12,0,0.24,0.16,0,1.2,1.03,0,0,0.82,0,0.02,0,0,0,0,0,0,0,69
13,0,3.35,0,0,0,0,0.45,0,0,0,0,0.52,0,0,0,0,0,0,56
14,0,2.28,0,0,0.61,0,0,0,0,0,0.09,0,0,0,0,0,0,0,62
15,0,0.55,0,0,0,1.28,0,0.5,0,0,0.22,0,0,0,0,0,0,0,75
16,0,0.37,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1.57,0,70
17,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
18,0.42,2.128,0,0.6,5.6,0.96,0,0.212,0,0,0,0,0.56,0,0,0,3.08,0.6,56
19,0,2.086,3.36,0,0.88,0.96,0,0.46,0,0,0,0,0,0.9,0,0,1.4,0.18,48
20,2.28,0.992,0.204,0,3.21,0,0.18,0.412,0,0,0,0,0.82,0,0.84,0,3.2,0.8,52
21,0,1.34,0,1.22,1.72,1.44,0,0.408,0,0,0.4,0,0,1.62,0,0,0.6,0,52
22,0,1.232,0.42,0,2.424,1.34,0,0,1.074,0,0,0.12,0,0,0.64,0,0,0,28
23,0,0.86,1.63,2.4,0,2.84,0,1.33,0,0,0,0,0,0,0.42,0,0,3.08,45
24,1.842,0,1.28,0,1.96,0,0,0,0,0,0,0,0,0,0.82,0,2.42,0,50
25,1.22,1.84,0.42,0,1.22,0.82,0,0,0,0,0,0,0,0,0,0,0.92,0.2,62
26,0,0,1.82,0,1.5,0,0,0.28,0.08,0,0.42,0,0,0,0,2.4,2.2,1.2,24
27,1.62,1.86,0.62,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.2,0,64
28,2.4,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,2.8,58
29,0,0,1.82,0,0.52,0,0.68,0,3.2,0,0,0,0,0,0,0,0,0.4,43
30,0,3.32,1.78,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0.72,0,56
31,0,1.36,2.48,0,1.28,2.42,0.72,0.52,0,0,0.62,0,0,0,0,0,2.48,0,20
32,1.32,4.9,0,0,1.2,2.84,0.8,1.72,0,0,0,0,0,1.22,0,0,0,0,60
33,0.6,1.2,0.8,0.8,0,0,0.92,0.6,0,0,0,0.24,0,0,0,0,0,0,28
34,0,0.58,1.72,0,0,2.4,0,2.2,0,0,0,0.12,0,0,0,0,2.48,0,28
35,0.92,0,1.34,0,1.22,1.72,0,0,0.408,0.52,0,0.4,0,0,1.62,0,0,0.6,8
36,0,0.6,2.6,0,3.2,2.3,0,0,0.8,0,0,0.2,0,0,0,0,2.6,0,16
37,0,2.4,0.6,2,4.2,0,0,0,1.55,0,0,0,0,0,0,0,0,0,48
38,0,0,4.4,0,0,0,0,0,0.4,0,0,0,0,0,2,0,0,0,36
39,0,1.1,0,0,0,2.6,0,2,0,0,0.9,0,0,0,0,0,0,0,10
40,3,0,3.2,0,0.45,0,0,1.5,0,0,0,0,0,0,0,0,0,0,50
41,0.6,1.45,0,0,0,0,1.5,2.6,0,0,0,0,0,0,0,0,0,0,62
42,0,0.5,1.8,0,0.4,0,1.8,0,0,0,0,0,0,0,0.6,0,2.6,0,40
43,0,2,0,0,0,2.6,0.6,0,0,0,0,0,0,0,0,0,1.5,0,68
44,0,0.6,1.2,0,1.2,0,1.3,0,0,0,0,0.6,0,0,0,0,0,0,4
45,0,0.9,1.9,0,0,0,0.9,0,0,0,0.5,0,0,0,0,0,0,0,26
46,1.6,1.93,0.5,0,0,0,0,0,0.4,1.2,0,0,0,0,0.5,0,0,0,20
47,1.1,1.1,2.3,2.1,1.2,0,0,0,1,0,0,0,0,0,0,0,0,0,38
48,0,0.56,4.42,0,0,0.316,0.66,0.15,0,0,0,0.6,0,0,0,0,0,0,10
49,0.36,1.2,0.81,0,0.99,0,0.59,0,0.355,0,0,0,0,0,0.6,0,0,0.66,36
50,0.56,2.36,0,0.15,0,0,0,0.32,0.88,0.6,0,0,0,0,0.66,0,0,0.152,28
51,0,0,0.78,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.15,0,82
52,1.43,0,1.2,0,0.65,0,0,0,0,0,0,0,0,0.23,0,0,0,0.65,60
53,0.65,1.21,0,0,0,0,0,1.46,0.66,0,0,0,0,0,0,0,0,0.15,58
54,1.16,1.22,0.772,0.155,0.15,0,0,0.3,0,0,0,0,0.2,0,0,0,0.778,0,84
55,1.4,2.3,2.12,0,0,0,0.65,0,0,0,0,0,0,0,0.6,0,0,0,50
56,1.5,4.81,2.4,1.4,1.4,0,1.7,0,0,2.1,0.15,0,0,0,0.5,0,0,0,16
57,1.1,1.96,3.75,0,1.05,0,0,0,0.96,0,0.09,0,0,0,0,0,0,0,38
58,0,3.6,0.15,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,64
59,0.54,2.2,0.96,0,0,4.56,0.78,0,0,0,0.15,0,0,0,0,0,0,0,44
60,0.4,0,3.15,0,1.1,0,0,0.9,0,0,0.06,0,0,0,0,0,0,0,66
61,0,0,1.4,0,0,1.5,0.15,0,0,0,0,0,0,0,0,0,1.3,0,62
62,0,2.1,0,0,0,1.1,0.15,0.25,0.45,0,0,0,0,0.15,0,0,0,0,54
63,1.2,0.7,0.25,0,1.2,0,0.78,0,0.45,1.2,0.05,0,0,0,0,0,0.2,0.3,32
64,1.02,0.5,4.06,0,0,2.1,0.17,0.11,0,0,0,0,0,0,0.52,0,0,0,46
65,0.9,1.05,0,0,2.1,0,0,0,0.65,0,0,0,0,0.26,0,0,0,0,86
66,0,0.9,1.35,0,0,0.2,0,0,0.12,0,0.15,0,0,0,0,0,0.52,1.3,33
67,0,1,1.43,0,0.6,1.3,0.51,0,0.15,0,0,0,0,0,0,0,0,0,55
68,2.4,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.45,0,0.26,68
69,0.12,3.1,0,0,0.8,0.5,0,0.06,0.104,0,0,0,0,0.156,0,0,0,0,64
70,1,1.2,1.27,0,0,0,0,0.35,0.31,0.01,0.08,0,0,0,0,0,1.5,0,52
71,0.9,0.42,0.75,0,0,0.7,0,0.55,0,0,0,0,0,0,0.65,0,0,0,64
72,0.577,1.7,0.15,0,0.4,0.6,0,0.23,0.8165,0.23,0.01,0,0,0.21,0,0,0,0,52
73,0.23,1.32,1.83,0,0.11,0,0.25,0,2.22,0,0,0,0,0,0,0,1.2,0,52
74,1.1,2.5,0.81,0,0,0,0,0.366,0,0.12,0,0,0,0,0,0.12,0,0.6,56
75,0,1.49,1.03,0,0.4,0.7,0,0.3,0.16,0,0,0,0,0,0.08,0,0.15,0,50
76,0,2,0,0,0.5,0.65,0.56,0,0.99,0.18,0,0,0,0.12,0,0,0,0,42
77,1.25,1.8,0.89,0,0.32,0,0,0.66,0.5,0,0.06,0,0,0,0,0,0.15,0,60
78,1.2,1.1,3.33,0,1.4,0,0,0.79,0,0,0,0,0,0,0,0,0,0,57
79,0,1.63,1.25,0,0,1.46,0,0.89,1.92,0.16,0,0,0,0,0.45,0,0,0,26
80,1.5,0.23,0.5,0,0.6,0.45,0.12,0.32,1.19,0,0,0,0,0.13,0,0,0.62,0,58
81,0.4,3.76,2.77,0,0.83,0,0,0,0,0,0.01,0,0,0,0,0.26,0.46,0,60
82,0,0,0.4,0.15,0.7,0.9,0,0.23,0,0.6,0,0,0,0,0,0,0,0,45
83,0,0,1.96,0,0,1.5,0,1.16,1.35,0,0,0,0,0,0.23,0,0,0,36
84,0,1.8,1.79,0,0,0,0,0,1.85,0,0.02,0,0,0.48,0,0,0,0,50
85,0.056,1.42,0.65,0,2.118,2.4,0.23,0,0,0.05,0.02,0,0,0,0,0.78,0,0,52
86,0,1.9,0,0,2.6,1.45,0,0.15,0.74,0,0,0,0,0,0.48,0,0,0,46
87,0,0.6,4.1,0,0,0,0,0.66,0,0.26,0,0,0,0,0,0,0,0,38
88,0,1.515,0,0.89,1.1,2.1,0,0.22,0.95,0,0.05,0,0,0.95,0,0,0,0,48
89,0,1.35,2,0,0,1.8,0,0.45,0.56,0.3,0,0,0,0,0,0,1.26,0,42
90,0.15,0.8,0,0,0,2.05,0.78,0.66,0,0,0,0,0.12,0,0,0,0,0,87
91,0,0.6,1.12,0,0,1.5,0,0,0.23,0,0.09,0,0,0,0,0,0,0,52
92,0,0.56,0.58,0,0,1.2,0,0.65,0.12,0.15,0,0,0,0,..45,0,1.25,0,40
93,0,0.08,0,0.23,0,0.45,0,0.1,0,0,0,0,0,0,0,0,0,0,92
94,0.95,0.9,12.5,0,1.22,0,0.15,2.6,0.15,0,0.15,0,0,0.15,0,0,0,0,22
95,0,0,0.78,0,0,0.81,0,0,0.12,0.065,0,0,0,0,0.05,0.9,0.4,0.56,54
96,0,0.66,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,76
97,0,0,1.84,1.4,0.66,1.05,0,0.78,0,0,0.26,0,0,0,0,0,0,0,38
98,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0.65,0,0,0,64
99,0,0.98,0,0,0.15,0,0,0.9,0,0.156,0,0,0,0,0,0,0,0,70
100,0.45,0,0.95,1.115,0,0.45,0,0,0,0,0.22,0,0,0,0,0,0,0,44
101,0,0,0,0,0,0,0,0.01,0.13,0.98,0,0,0,0.156,0.48,0,0,0,64
102,0.665,3.05,0.995,0,0.11,0,0,0,0,0,0.15,0,0,0,0,0,0,0,34
103,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
104,0,0.45,0.7,2.77,0.55,0.56,0,0.796,1.28,0,0.12,1.2,0,0,0.11,0.48,0,0,34
105,0.6,1.12,2.53,0,1.56,0.23,0,0.26,0.32,0.05,0.06,0.01,0,0,0.12,0.23,0,0.26,34
106,0.73,0,0.23,0,0.26,2.3,0.43,0,0,0,0,0,0,0.2,0,0,0,0,82
107,0.66,0,0.5,0.15,0.5,0,0,0,0,0.1,0,0.03,0,0,0,0,0,0,58
108,0,0.43,1.3,0.14,0.66,0,0,0,0,0,0.05,0,0,0,0,0,0,0,36
109,0.72,0,0,0,0.26,2.5,0,0,0.2,0,0,0,0,0,0.23,0,0,1.2,36
110,0.22,1.2,0.12,0,0,0,0,0,0,0.13,0,0.05,0,0,0,0.25,0,0,50
111,0.6,0.66,0.51,0,1.23,0.2,0.3,0.1,0,0,0,0,0,0.5,0,0,0,0,62
112,0.6,0,1.5,0.25,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,88
113,0.8,1.11,0,0,0,0,0,0,0,0.23,0,0.05,0,0,0,0,0,0.25,44
114,0,0.65,0.1,0,1.22,0,0,0.2,0.2,0,0,0,0,0,0.01,0.26,0,0,74
115,0.5,0.12,0.23,0.36,0,0,0,0,0.12,0,0,0,0,0.6,0,0,0,0,70
116,0.3,0.23,0.69,0,0,0,0,0.3,0.15,0.1,0.02,0.01,0,0,0,0,0,0,54
117,0.68,1.23,0.1,0,0.33,0,0,0,0,0.12,0,0.02,0,0,0,0,0,0.55,54
118,0,0,0.33,0,0,0,0.2,0,0,0.01,0,0.01,0,0,0.14,0,0,0,76
119,1.21,1.25,#VALUE!,0.25,0,1.38,0.1,0,0.79,0,0,0.1,0,0.12,0,0,1.2,0,32
120,0,0.61,0.23,0.45,0.32,1.25,0.21,0.49,0,0.1,0,0.2,0.25,0,0,0,0,0,28
121,1.23,0.36,0,0,0,0,0,0.1,0,0,0.02,0.7,0,0,0,0,0,0.44,0
122,0.8,0,0.9,0,0,1.23,0,0,0,0,0,0.6,0,0,0,0,0,0,2
123,0.756,1.23,0.6,0.15,0.62,0.15,0,0,0.11,0,0,0,0,0.23,0.15,0.23,0,0,62
124,1.23,0.25,0.7,0.66,0,0,0,1.01,0,0,0.12,0,0.12,0,0,0,0,0,58
125,0.2,1.79,0,0,0,0,0.513,0.3,0.83,0.1,0,0.6,0,0,0,0,0,0.55,8
126,0.1,0.2,0.2,0,0,1.56,0,0,0,0,0,0.04,0,0,0,0,1.4,0,54
127,0.62,1.22,0.12,0.12,1.23,0,0.12,0.122,0.45,0,0,0,0,0.35,0.01,0,0,0,70
128,1.2,0,0.9,0,0,0,0.36,0.4,0,0,0.2,0,0.36,0,0,0.15,0,0.6,48
129,1.5,1.96,0.2,1.65,0,0.15,0,0,0,0,0,0.15,0,0,0,0,0,0,35
130,0.53,0.47,0.98,0,0.23,1.05,0.3,0.01,0.11,0.08,0,0,0,0.15,0.04,0,0.25,0.5,60
131,0,0.23,0.15,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,82
132,1.83,0.6,0.12,1.85,0.12,0,0.22,0.34,0,0.04,0.01,0.4,0.45,0,0,0.15,0,0,18
133,0,1.11,0.66,0,0,0,0.75,0.15,0.3,0,0,0,0,0.45,0.05,0,0,0,52
134,0.6,0.9,0.33,0.25,1.23,0.98,0.32,0,0.1,0,0,0,0,0,0,0,0.23,0.5,72
135,0.6,0.3,0.48,0,1.01,0.15,0,0.3,0.15,0.4,0,0.08,0,0.56,0,0,0,0,28
136,2.24,0,0.27,0,1.35,0,0.3,0,0.6,0,0.2,0,0.55,0,0.2,0.56,0,0,32
137,0.45,0,0.11,0,0,0,0,0.15,0.14,0,0,0.07,0,0,0,0,0,0.15,50
138,0.33,2.05,0.15,0,0.32,0.56,0.12,0,0,0,0,0.4,0,0.65,0.05,0,0.56,0,18
139,3.05,0.48,0.6,0.6,0.23,0.17,0.12,0,0.37,0.4,0,0,0,0,0,0,0,0,50
140,0.15,0,1.63,0,0,0,0.5,0.15,0,0,0.23,0,0.36,0,0.25,0,0,0.78,48
141,0.3,0.26,0.22,0,1.05,0,0.3,0.56,0.45,0,0,0,0,0.87,0,0,1.25,0,58
142,0,1.91,0.22,0,0.6,0.26,0.43,0,0.15,0.01,0,0.3,0,0,0,0,0,0,16
143,0.856,0,1.13,1.3,0.6,0,0,0.22,0,0,0,0,0.2,0.79,0.15,0,0,0.15,74
144,0,0.23,1.05,0.1,0.25,0.56,0,0,0,0,0.03,0,0,0,0,0,0.33,0,60
145,0.38,0.33,0.16,0,0.18,0.45,0,0,0.17,0,0,0.2,0,0,0,0,0,0,30
146,1,1.25,0.645,0.66,0.23,0,0.2,0.5,0,0,0,0,0,0.99,0.19,0,0,0.5,56
147,0.61,1.7,0.6,0,0.66,0.66,0,0.21,0.48,0.01,0.32,0,0,0,0,0,1,0,38
148,0.37,0,1.05,1.455,0.23,0,0,0,0.45,0,0,0.1,0,0,0,0,2.3,0,24
149,0.8,0.8,0.33,0,0.62,0,0,0.3,0.15,0,0,0,0,0.15,0.56,0,0,0.5,50
150,0,0.2,0.3,1.25,0.35,0.6,0,0,0,0,0,0,0,0,0,0,0,0,86
151,0.23,0.45,1.81,0,0.2,0,0.33,0,0.69,0,0.01,0.4,0.25,0,0,0,0.25,0,14
152,0.6,0.16,0,0,0.2,0,0,0.12,0.19,0,0,0,0,0,0,0,0,0.5,68
153,0.45,0.14,0,0,0.9,1,0,0.25,0.2,0.01,0,0,0,0,0,0,0,0,62
154,0,1.2,0,1.22,0.15,0,0,0.1,0.63,0,0,0,0.22,0,0,0,0.455,0,54
155,0,0,0.48,0,0,0,0,0,0.5,0,0.13,0,0,0,0,0,0,0.5,60
156,0.52,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,86
157,0.22,0.5,0,0,0.03,0.23,0,0.22,0,0,0,0,0.5,0,0,0,0,0,86
158,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0.12,94
159,0.6,0.23,0.6,0,0.2,0,0,0.76,0,0.04,0,0,0,0,0,0,0,0,80
160,0.6,0,0,0,0,0.45,0,0,0,0,0.25,0,0,0,0,0,0,0,44
161,0,0,0,0,0.26,0,0,0,0.23,0,0,0,0,0,0,0,0,0,91
162,0,0.3,0.6,0.6,0,0.4,0,0,0.2,0,0.12,0,0,0,0,0,0,0.08,56
163,1.5,2.4,0,0.1,1.2,0.1,0,0,0,0,0.01,0.05,0,0,0,0,0,0,44
164,2.18,1.2,0.605,0,0.84,0.78,0.3,0.12,0.53,0.15,0,0.06,0.15,0,0.63,0.66,0,0.8,28
165,0,0.99,1.59,0,1.9,2.96,0.22,0.7,0.23,0,0.06,0,0,0.23,0,0,0,0,38
166,0,0.56,0.85,0,0,0.66,0,0,0,0,0,0,0.23,0,0.66,0,0,0,58
167,1.29,0.6,0,0,0,0.8,0,0.75,0,0,0,0,0,0,0,0,0,0,74
168,0,0.6,0.473,0,0.56,0.65,1.91,0.25,0,0.26,0,0,0,0,0,0,0,0.6,32
169,0,0.25,0.65,0,0,0.78,0.23,0.26,0,0,0.02,0,0,0,0.15,0,0,0,74
170,0,0.95,1.1,0,1.6,0,0.23,0.6,0.8,0,0,0.1,0,0,0,0,0,0,18
171,0.6,0,0.56,0,1.2,0,0,1.13,0,0,0,0,0,0,0,0,0,0,76
172,0.45,0,0,0,0.23,0,0.32,0.62,0.556,0.31,0,0,0,0,0,0,0.45,0,48
