S.N,AC1,AC2,AC3,BE1,BE2,BE3,D1,D2,D3,F1,F2,F3,G1,G2,G3,H1,H2,H3,PCI
339,0.81,0.59,0.34,0.13,0.32,0.44,0,0.42,0.12,0,0,0,0,0,0,0,0,0,66
340,0.23,0,0,0.23,0.12,0.52,0.15,0.23,0.44,0,0,0,0,0,0,0,0,0,56
341,0,0.26,0.62,0.65,1.51,0,0.21,0.32,0.23,0,0,0,0,0.01,0,0,0,0,58
342,1.174,0.15,0,0,0,0.582,0.11,0.4,0.2,0,0,0,0,0,0,0.2,0,0,76
343,0.29,0.23,0.55,0,0.15,0.67,0,0.23,0,0,0,0,0,0,0,0,0,0,82
344,0,0.33,0.3,0.85,0.52,0,0.15,0.33,0,0,0,0,0,0.15,0,0,0,0,74
345,0.52,0.892,0.75,0.32,0.27,0.8,0.32,0,0.3,0,0,0,0,0,0,0,0,0,58
346,0,1.063,0.626,0,1.53,0.266,0,0.11,0,0,0,0,0,0,0,0,0,0,70
347,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
348,0.9,0,0.75,0.12,0.32,1.65,0,0,0.5,0,0,0,0,0,0,0,0,0,74
349,0.216,0.3,0.91,0,0.6,0,0,0.36,0.2656,0,0,0,0,0,0,0.02,0,0,80
350,0,0.55,0.78,0.15,0.62,1.25,0.25,0,0.651,0,0,0,0,0,0,0,0,0,66
351,1.11,0.51,0,0,0.03,0.356,0,0.25,0.25,0,0,0,0,0,0,0,0,0,60
352,0.32,0.39,0.14,0,0.62,0.652,0,0.58,0.626,0,0,0,0,0,0,0,0,0,80
353,1.376,0.21,0.42,0.6251,0,0.44,0,0.15,0.252,0,0,0,0,0,0,0.35,0,0,70
354,0,0.125,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,92
355,0,0.35,0.2,0,1.2,1.63,0.12,0.224,0.05,0,0.085,0,0,0,0,0,0.2,0,56
356,0.32,0.15,0,0,0,0.41,0.15,0.26,0.66,0,0,0,0,0,0,0,0,0,78
357,0,0.383,0.3,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
358,0,0.22,0,0.55,0.54,0.45,0,0,0,0,0.055,0,0,0,0,0,0,0,76
359,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.12,0,82
360,0.32,0.24,0.75,0,0,0.11,0.22,0.36,0,0.01,0,0,0.11,0.2,0,0,0,0,64
361,0,0,0.66,0.32,0.11,0,0.11,0.32,0,0,0.01,0.03,0,0.01,0,0.12,0,0,56
362,0.15,0.5,0,0,0.32,0,0,0.3,0.1,0.02,0.021,0,0,0,0.15,0.13,0.32,0,64
363,0.27,0.73,0,0,0.12,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0.52,74
364,0,0.45,0.46,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,86
365,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.6,0.015,0.15,0,74
366,0.685,1.85,0.11,0,1.261,0.37,0.15,0.44,0.25,0,0.001,0.005,0,0,0,0,0,0,54
367,0.15,0.55,0,0,0.47,0,0.23,0.32,0,0.01,0,0,0,0,0.22,0,0,0,76
368,0,0.32,1.43,0,0.11,1.31,0.14,0.15,0,0,0,0,0,0,0,0.62,0,0.62,64
369,0,0.88,1.55,0,0,0,0,0.62,0.11,0,0,0.06,0,0.11,0,0,0,0,44
370,0.22,0,0,0,1.476,1.84,0,0.372,0.35,0,0.05,0.005,0,0,0,0,0.66,0,56
371,1.18,0.65,0.55,1.25,0,0.23,0,0.62,0,0.3,0,0.008,0,0,0,0,0,0,54
372,0.11,2.47,1.37,0.615,0.15,0.15,1.06,0.78,0.12,0,0,0,0,0.52,0,0.616,0,0.15,52
373,0.52,0.32,0.221,0,2.14,0,0,0.12,0,0,0,0,0,0,0,0,0,0,74
374,0.66,0.25,0.55,0,0.302,1.76,0.15,0.25,0.65,0,0,0,0,0,0.21,0,0.55,0,56
375,0.2,1.17,0.15,0.62,0.82,0.15,0,0.3,0.25,0.06,0,0.008,0,0,0,0,0,0.16,62
376,0.15,1.8,0.63,0,0.91,0,0,1.27,0,0,0,0,0,0.566,0,0.62,0,0,70
377,1.22,0,0.27,0,0,2.451,0,0.6,0,0,0.02,0,0,0,0,0,0.51,0.15,64
378,0.6,0.15,0.52,0,0.51,0,0,0.63,0.65,0,0,0,0,0,0.12,0,0,0,60
379,0.36,2,0,0.52,1.8,0.15,0.415,0.84,0,0.05,0.01,0,0,0.66,0,0,0,0,60
380,0,0.626,0.22,0,0.84,0.51,0,0,0.63,0,0,0,0,0,0,0,0,0,68
381,0,0.18,0.23,0.626,0.48,0,0,0.11,0.15,0,0,0,0,0,0,0,0,0,80
382,0,0,0.34,0,1.49,1.21,0.15,0.88,0.11,0,0.05,0,0,0.61,0,0,0,0,58
383,0.15,1.22,0.48,0,0,0.14,0.15,0.65,0.65,0,0,0,0,0,0,0,0,0,58
384,0,0,0.25,0.6,0.22,0.4,0,0.48,0.15,0,0,0.15,0,0,0,0,0,0,30
385,0.15,0.75,0.83,0,0.55,1.09,0,0,0.25,0,0.32,0.15,0,0.165,0,0,0,0,8
386,0,0.63,0.52,0.15,0.66,1.01,0,0.56,0.621,0,0.15,0,0,0,0,0,0,0,46
387,0,0,0.15,0,0.15,0.55,0.11,0.6,0.74,0,0.22,0,0,0,0,0,0,0,42
388,0,0.52,1.21,0,1.2,0.45,0,0,0.51,0,0.05,0.05,0,0,0,0,0,0,26
389,0.32,1.32,0.31,0,0,0.45,0,0.47,0.25,0,0,0.041,0,0,0,0,0,0,52
390,0,0.25,0,0,0.55,1.441,0,0,0,0,0,0.01,0,0,0,0,0,0,72
391,0,0.7,0.15,0,0,0.32,0,0,1.2,0,0,0,0,0,0,0,0,0,46
392,0.33,1.55,0.582,0,0.77,0,0.63,0,0.63,0,0,0.23,0,0,0,0,0,0,54
393,0,0.262,1.32,0,0,0.94,0,0.15,0,0,0,0,0,0,0,0,0,0,72
394,0,0.26,0.38,0.32,0,0,0,0.62,0.69,0,0,0.051,0,0,0,0,0,0,32
395,0,1.17,0.55,0.15,0.62,0.51,0,0,0.15,0.15,0.23,0.085,0,0,0,0,0,0,20
396,0.15,1.203,0,0.5,0,0,0.33,0.176,0,0.15,0,0.051,0,0,0,0,0,0,28
397,0,0.25,0.32,0,1.133,0.74,0.25,0.22,0.66,0,0.021,0.1,0,0,0,0,0,0,24
398,0,0.156,0.15,0,0,1.12,0,0.85,0.36,0.05,0,0,0.36,0,0.51,0,0,0,50
399,1.43,0.78,0.15,0.4,0.51,0,0,0,0.63,0,0,0.23,0,0,0,0,0,0,24
400,1.24,1.6603,0.15,0,0.3,0.66,0.25,0.921,0,0,0,0.012,0,0.63,0,0.623,0,0,64
401,0,0,0.2,0,0,1.51,0.15,0.63,0,0.05,0,0,0.66,0,0,0,0,0.35,46
402,0.412,0.26,0.11,0,0,1.37,0.66,0,0.1,0,0,0.032,0,0.2,0,0,0,0,56
403,1.22,0.8,1.37,0,0,0.12,0,0.336,0,0,0.52,0,0.25,0,0.215,0,0,0.65,26
404,0,0,0,0.32,0.15,0.62,0,0.865,0,0,0.51,0,0,0,0,0,0,0,24
405,0.11,1.02,0,0,0,0.552,0,0,0,0,0.15,0.051,0,0,0,0.15,0.652,0,38
406,0.25,0,0.8,0,0,0.6,1.8326,0,0.7,0.15,0,0,0,0,0,0,0,0.15,42
407,0.566,0.62,0.4,0,1.2,0,0,0.55,0,0,0,0,0,0.515,0,0,0.15,0,58
408,0,1.14,0.65,0,0,0.6,0.125,0.66,0,0,0,0.05,0,0,0,0,0,0,46
409,0.15,0.25,0,0,0,0.15,0.77,0.51,0,0,0,0,0,0,0,0,0,0,72
410,0,0,0.25,0,0.15,0.55,0,0,0,0,0,0,0,0,0,0,0,0,80
411,0,0,0,0,0.36,0.52,0.26,0.17,0.6,0,0,0,0,0,0,0,0,0,64
412,0.52,0.84,0.16,0,1.16,0.85,0.32,0,0,0,0,0,0,0,0,0,0,0,46
413,0,0.52,0.32,0,0.085,0.52,0.52,0,0.15,0,0,0,0,0,0,0,0,0,74
414,0.61,0,0.46,0,0.63,0,0.26,0.35,0,0.01,0.1,0.04,0,0,0,0,0.32,0,44
415,0,0.15,1.126,0,0,2.1715,0.32,0.063,0,0,0,0,0,0,0,0,0,0,66
416,0,0.65,0.7,0,0,0,0.15,0,0.5,0,0,0,0,0,0,0,0,0,66
417,0.24,0.11,0.612,0,0,0,0.56,0,0,0,0.06,0,0,0,0,0,0,0,66
418,1.43,0.63,0,0,0.15,1.65,0.51,0.36,0,0,0.05,0,0,0,0,0.32,0,0,60
419,0,0.84,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0.085,0,74
420,0.12,0.3026,0.1,0,0.65,0,0,0.85,0.25,0,0,0.01,0,0,0,0,0.552,0,68
421,0.562,0.33,0.33,0,0,2.44,0.25,0.31,0,0,0,0,0,0,0,0,0,0,76
422,0.15,0.36,0,0.32,0,2.51,0,0.15,0,0,0,0,0,0,0,0.15,0,0,80
423,0.12,0.51,0,0,0.32,0,0,0,0,0,0.01,0,0,0,0,0,0,0,90
424,0,0.5,1.38,0.47,0.11,0.11,0,0,0,0,0,0.06,0,0,0,0,0,0,44
425,0.15,0.933,0.15,0,0,0.76,0.36,0.96,1.19,0,0,0,0,0,0,0,0,0,52
426,0.52,0.25,0.15,0,0,0.22,0,0.15,0,0,0,0,0,0,0,0.52,0,0,84
427,1.04,0.515,1.03,0.65,1.03,0,0.6,0.33,0.32,0,0.001,0,0,0,0,0,0,0,70
428,0,1.4,0.55,0.15,0.15,0.75,0.32,0.9,0.215,0,0.05,0,0,0,0,0,0,0,58
429,0.35,0.78,0.22,0.55,0.62,0.55,0.51,0.23,0.15,0,0,0,0,0,0,0.03,0.32,0.26,66
430,1.2,1.611,0.656,1.02,0.51,0.22,0,0.4,1.3,0,0,0.006,0,0,0,0.11,0,0,38
431,1.21,1.34,1.43,0.51,0.51,0,0.4,0,0,0,0,0.08,0,0,0,0,0,0,42
432,0.26,1.102,2.05,0.78,0,0.93,0.85,0,0,0.01,0,0.02,0,0,0,0,0,0,52
433,0.15,0.555,1.44,0.55,0,1.7151,0.15,0.52,0,0,0,0.01,0,0,0,0,0.15,0,58
434,0.22,0.61,1.13,0.17,0,0,0.1,0,0.65,0,0,0,0,0,0,0,0,0,58
435,0.635,0.56,1.92,0.45,0.33,0.298,0,0.15,0.15,0,0,0.08,0,0,0,0,0,0,40
436,0.66,1.1612,0.85,0,0,0,0.82,0,0.52,0,0.12,0,0.32,0,0,0.3,0,0.5,50
437,0,1.11,0.651,0,0.51,0.65,0.164,0,0,0,0.11,0.15,0.15,0,0,0,0,0.158,28
438,0.15,0,0.621,0,0.66,1.176,0.513,0.62,0,0,0,0,0,0.32,0,0,0,0,74
439,0,0.55,0,0,0.63,0.5,0,0.5,0.1,0,0,0,0,0.15,0,0,0,0,72
440,0,0.52,0,0,0.62,0.26,0,0.6,0.18,0,0,0,0,0.55,0,0.15,0.516,0.15,64
441,0.762,0.15,0.15,0,0,1.086,0.63,0,0,0,0.04,0.02,0.32,0.15,0,0,0,0,54
442,1.253,0.53,0.3,0,0.22,1.14,0,0,0,0,0,0,0.216,0,0,0,0,0,64
443,0,0.765,0.63,0,0,0.63,0,0.84,0,0,0,0,0.51,0,0.36,0,0,0,66
444,0.32,0.975,0.89,0,0.5,1.25,0,0.63,0,0,0,0,0.66,0,0.15,0.52,0,0,56
445,0.872,0,0.941,0,0.15,0.85,0,0.12,1.061,0.23,0.51,0,0,0.51,0.565,0,0.612,0,18
446,0.6,1.38,1.71,0.41,0,1.85,0.5,0.62,0.05,0.1,0,0.06,0,0.51,0,0,0,0,30
447,0,0.66,0.87,0,0,1.73,0,0.51,0,0,0.1,0,0,0,0,0.52,0,0,56
448,0.25,1.2551,0.75,0,1.02,0,0,0,0,0,0,0,0,0.33,0,0,0.16,0,72
449,0.11,0.93,1.37,0,0,0,0.3,0.32,0.52,0.14,0,0,0.32,0.15,0,0,0.16,0,42
450,0.77,0,0.846,0,0.11,0.5621,0,0,0,0.15,0,0,0.32,0.515,0.55,0,0.062,0,50
451,0.51,0.95,0.15,0,0.15,0.18,0,0.5,0.1,0,0,0.156,0.055,0.2,0,0,0.15,0,34
452,0.062,0.265,0.38,0,0,0,0,0,0,0.05,0.01,0,0.85,0,0,0,0,0,70
453,1.186,0,0.51,0,0,1.14,0.15,0.32,0,0,0,0,0,0,0,0,0,0,72
454,0.12,0.52,1.81,0,0.15,0,0,0,0,0,0,0.05,0,0,0,0,0,0,50
455,0.62,0.91,1.69,0.11,0.33,0,0,0.35,0.61,0,0,0,0,0,0.51,0,0,0,40
456,0.85,0.32,3.05,0.15,0,0.615,0.12,0.3,0,0.01,0.08,0.1,0,0,0,0,0,0,28
457,0,0.66,1.28,0,0.145,0,0,0.12,0,0,0,0,0,0,0,0,0,0.644,62
458,0.52,0.15,2.22,0,1.37,1.21,0,0.541,0.18,0,0,0,0.52,0.05,0.52,0,0,0,48
459,0.825,0,1.49,0,0.55,0.74,0,0,0.15,0,0.08,0,0,0,0.02,0,0,0,54
460,0.2,1.232,1.6,0,0.5665,0.61,0,0,0.5,0.01,0,0,0,0,0.5,0,0,0.656,48
461,0.49,0.44,2.16,0.36,0.78,0.85,0,0.55,0.562,0,0,0,0.15,0,0.63,0,0,0,58
462,0.495,0,1.46,0,0.4566,0.45,0,0.51,0.145,0,0,0.02,0,0.33,0.621,0,0,0.61,38
463,0,2.28,1.391,0,0.1,0.77,0.32,0.514,0,0.08,0,0,0,0,0.15,0,0,0,58
464,2.03,2.5415,0.48,0.51,0,0,0,0.7,0,0.15,0,0,0.33,0,0,0,0,0,62
465,0.32,2.041,1.18,0,0,0,0,1.02,0,0,0,0.064,0,0.15,0,0,0,0,46
466,0,2.64,0,0,0,2.13,0.52,0.51,0,0.15,0,0,0,0,0.51,0,0,0,48
467,1.45,1.315,0.36,0,0.6,0.47,0,0,0,0,0,0,0,0,0.52,0,0,0,64
468,0.51,1.031,1.27,0.62,0,0.25,0.45,0,0,0,0,0,0.01,0.05,0.5,0,0,0,64
469,0,0.52,0.51,0,0.45,0.63,0,0.85,0,0,0,0,0.045,0,0.51,0,0,0,60
470,1.48,1.34,0.99,0,0.585,0.711,0,0.1625,0,0,0,0,0,0.11,0.015,0,0,0,64
471,1.765,0,1.82,0.15,0.956,0,0,0.15,0,0,0,0,0,0,0,0,0,0,76
472,0.552,0,1.35,0,0.345,0,0.65,0.55,0,0,0,0,0,0,0,0,0,0,78
473,0.78,0.62,1.35,0.51,0,0.21,0,0.84,0,0.62,0,0,0,0.003,0,0,0,0,44
474,1.015,0,0.78,0,0,0,0,0.74,0,0,0,0,0,0,0.015,0,0,0,86
475,1.23,0,0.85,0,0,0,0.855,1.02,0,0,0,0.001,0,0,0,0,0,0,82
476,1.73,0.51,1.48,0.15,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,84
477,0.11,0.87,0.15,0,0.12,0.11,0.11,0.65,0,0,0,0,0,0,0,0,0,0,78
478,0.41,0.32,0,0.2,0,0.23,0,0,0,0,0.007,0,0,0,0,0,0,0,84
479,0.26,0.3,0,0,0.65,0.32,0.1,0.2,0,0,0,0,0,0,0,0,0,0,78
480,0,0,0.32,0,0,0,0.15,0.1,0,0,0,0,0,0,0,0,0,0,86
481,0.32,0.1,0.32,0,0,0.63,0,0.32,0,0,0,0,0.04,0,0.15,0,0,0,82
482,0,0.29,0.11,0.32,0,0.3,0.32,0,0,0,0,0,0,0,0,0,0,0,88
483,0.242,0.33,0.14,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,82
484,0,0.1,0,0,0.15,0.15,0,0.41,0.1,0.01,0,0,0,0,0,0,0,0,80
485,0,0.11,0,0,0.1,0.42,0,0,0,0,0,0.002,0,0,0,0,0,0,82
486,0.15,0,0,0,0,0.37,0,0.17,0,0,0,0,0.32,0,0,0,0,0,84
487,0.25,0.52,0.1,0,0.1,0,0,0.11,0,0,0,0,0,0,0,0.01,0.05,0,84
488,0,0,0,0.45,0,0.15,0,0,0,0,0,0,0,0,0.52,0,0,0,76
489,0,0.42,0.07,0.015,1.53,0,0,0,0.156,0,0,0,0,0,0,0,0,0,86
490,0,0.51,0,0,0,0,0,0.61,0,0.008,0,0,0,0,0,0,0,0,86
491,0,0,0.721,0,0,0.1,0,0,0,0,0,0.003,0,0,0,0,0,0,84
492,0,0,0,0,0.3,0,0.26,0.5,0,0,0,0,0.1,0,0,0,0,0,78
493,0.77,0.3,0,0,0,0.51,0,0.21,0,0,0.001,0,0,0,0,0,0,0,84
494,0.51,0,0,0.35,0.6,0.12,0,0.1,0,0,0,0,0,0,0.52,0,0,0,72
495,0.2,0.32,0,0,0,0,0,0,0.512,0,0,0,0,0,0,0,0,0,86
496,0,0.1,0.1,0,0,0,0,0.04,0,0.009,0,0,0,0,0,0,0,0,76
497,0.1,0.2,0,0.5,0,0.521,0,0.36,0,0.1,0,0.01,0,0,0,0,0,0,58
498,0.51,0,0.21,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,88
499,0,0.16,0.5,0,0.1,0,0.41,0,0.1,0,0.004,0,0,0,0,0,0,0,70
500,0,0,0.55,0,0,0.32,0,0.08,0,0,0,0,0,0,0,0,0,0,90
501,0.27,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,90
502,0,0.232,0.2,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,72
503,0.2,0,0.1,0,0.656,0.516,0,0.1,0,0,0,0,0,0,0,0,0,0,78